Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
SeniorCitizen,0.0,0.6931471805599453
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.75
TotalCharges,18.85,8672.45
MultipleLines,0.24035281146637266,0.27512776831345825
InternetService,0.06634304207119741,0.40634005763688763
OnlineSecurity,0.06634304207119741,0.4092229484386347
OnlineBackup,0.06634304207119741,0.39073390733907337
DeviceProtection,0.06634304207119741,0.38445723684210525
TechSupport,0.06634304207119741,0.40693892302132273
StreamingTV,0.06634304207119741,0.3291479820627803
StreamingMovies,0.06634304207119741,0.32518115942028986
Contract,0.026239067055393587,0.41745668519123896
PaymentMethod,0.14273927392739275,0.4460393407761829
